name,id,date,playoffs,age,tm,venue,opp,plus_minus,gs,minutes,seconds,fg,fga,fg_percent,x3p,x3pa,x3p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,gm_sc
Matee Ajavon,ajavoma01w,2009-06-06,0,23-030,WAS,@,CON,12,0,6,0,1,5,0.2,0,2,0,1,2,0.5,0,1,1,0,0,0,0,2,3,-1
Matee Ajavon,ajavoma01w,2009-06-07,0,23-031,WAS,,ATL,6,0,15,0,3,6,0.5,2,2,1,0,0,0,1,1,2,1,1,0,1,1,8,6.3
Matee Ajavon,ajavoma01w,2009-06-10,0,23-034,WAS,@,DET,6,0,20,0,5,9,0.556,2,3,0.667,0,0,0,3,2,5,1,3,0,0,3,12,12.9
Matee Ajavon,ajavoma01w,2009-06-19,0,23-043,WAS,@,ATL,-12,0,23,0,3,9,0.333,2,5,0.4,5,6,0.833,1,0,1,2,1,0,1,4,13,8
Matee Ajavon,ajavoma01w,2009-06-20,0,23-044,WAS,,CHI,9,0,17,0,2,10,0.2,0,1,0,2,2,1,0,2,2,1,1,1,0,3,6,1.6
Matee Ajavon,ajavoma01w,2009-06-25,0,23-049,WAS,,PHO,-6,0,23,0,2,7,0.286,1,3,0.333,1,2,0.5,0,0,0,3,2,0,0,4,6,4
Matee Ajavon,ajavoma01w,2009-06-27,0,23-051,WAS,@,CHI,-5,0,12,0,2,3,0.667,1,2,0.5,0,0,0,1,0,1,1,0,0,3,4,5,0.5
Matee Ajavon,ajavoma01w,2009-06-30,0,23-054,WAS,@,SAS,2,0,29,0,5,8,0.625,3,5,0.6,2,2,1,0,4,4,1,2,0,3,3,15,11.1
Matee Ajavon,ajavoma01w,2009-07-03,0,23-057,WAS,@,ATL,-7,0,16,0,2,8,0.25,2,4,0.5,1,2,0.5,0,1,1,0,0,0,2,2,7,-0.7
Matee Ajavon,ajavoma01w,2009-07-07,0,23-061,WAS,@,MIN,-2,0,19,0,2,8,0.25,0,1,0,1,2,0.5,0,1,1,0,1,0,2,5,5,-2.9
